recipient,name
Фізичні особи,Бронювання житла та видача охоронних свідоцтв (броні)
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Присвоєння будівельної адреси.
Фізичні особи,"Усиновлення дитини-сироти чи дитини, позбавленої батьківського піклування"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Тимчасове обмеження руху транспорту
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Скасування дії дозволу на розміщення зовнішньої реклами
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Сертифікат відповідність закінченого будівництва об'єкта
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Свідоцтво про атестацію калібрування засобів вимірювальної техніки та вимірювання
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Реєстрація машини, причепа з дня придбання яких минуло 10 днів"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Реєстрація документів, що посвідчують право власності чи користування (оренди) земельними ділянками."
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Проведення технічної експертизи, аналізу та Видача висновку про технічний стан машини, причепа, що стали непридатними внаслідок аварії чи стихійного лиха"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Проведення річного державного технічного огляду машини, причепа."
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Проведення огляду під час реєстрації, перереєстрації та зняття з обліку тракторного причепа, інших причіпних машин"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Проведення огляду під час реєстрації, перереєстрації та зняття з обліку трактора, самохідного шасі, самохідної сільськогосподарської, меліоративної та дорожньо-будівельної машини"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Присвоєння поштової адреси об’єкту нерухомого майна (окрім присвоєння поштової адреси багатоквартирним житловим будинкам, домоволодінням, жилим будинкам садибного типу, індивідуальним дачним та садовим будинкам, гаражним, садовим кооперативам)"
Фізичні особи,Присвоєння поштових адрес окремо розташованим об’єктам будівництва та новозбудованим приватним житловим будинкам
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Прийняття заяви на приватизацію комунального майна
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Прийняття заяви на включення до переліку об'єктів, які підлягають приватизації ком. майна"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Приймання іспиту на одержання посвідчення тракториста-машиніста.
Фізичні особи,Призначення опіки над майном дітей-сиріт та дітей позбавлених батьківського піклування
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Погодження проектів землеустрою щодо відведення земельних ділянок усіх категорій та форм власності
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Погодження клопотання водокористувачів з обґрунтуванням потреби у воді для отримання дозволу на спеціальне водокористування (в частині погодження клопотання водокористувачів з обґрунтуванням потреби у воді використання поверхневих вод в межах м. Києва)
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Погодження відчуження або передачі пам’яток місцевого значення та щойно виявлених об’єктів культурної спадщини їхніми власниками чи уповноваженими ними органами іншим особам у володіння, користування або управління (приватизація)"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Погодження відчуження або передачі пам’яток місцевого значення та щойно виявлених об’єктів культурної спадщини їхніми власниками чи уповноваженими ними органами іншим особам у володіння, користування або управління (приватизація шляхом продажу на аукціоні"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Погодження відчуження або передачі пам’яток місцевого значення та щойно виявлених об’єктів культурної спадщини їхніми власниками чи уповноваженими ними органами іншим особам у володіння, користування або управління (оренда)"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Погодження відчуження або передачі пам’яток місцевого значення та щойно виявлених об’єктів культурної спадщини їхніми власниками чи уповноваженими ними органами іншим особам у володіння, користування або управління (іпотека)"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання","Погодження відчуження або передачі пам’яток місцевого значення та щойно виявлених об’єктів культурної спадщини їхніми власниками чи уповноваженими ними органами іншим особам у володіння, користування або управління (відчуження (продаж, дарування))"
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Підготовка проекту розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) про надання дозволу на видалення зелених насаджень
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Переведення житлового приміщення в нежитлове і навпаки
Фізичні особи,Оформлення та видача ордерів
Фізичні особи,Оформлення свідоцтва про поховання
Фізичні особи,Оформлення свідоцтва про поховання
Фізичні особи,Оформлення обміну житла та видача обмінних ордерів
"Юридичні особи,Фізичні особи,Суб’єкти господарювання",Ордер на видалення зелених насаджень
